文物id,文物名称,文物来源,文物图标,文物颜色,文物描述
48,龙纹披风,龙翼巢穴,wenwu_48,3,刺绣有龙纹的披风，打仗胜利凯旋时会将披风做成旗帜挥舞。
49,龙皮铠甲,龙翼巢穴,wenwu_49,4,王族成员的铠甲，用同龙族兄弟姐妹褪下的龙皮制成，坚不可摧。
50,龙焰王冠,龙翼巢穴,wenwu_50,5,王的象征物品，只有最强大的龙才能佩戴。拥有者可以号令整个龙族。
51,房屋的瓦片,遗忘古地,wenwu_51,1,这里的水域曾经是一片繁华的都市，但现在只能看到昔日房屋残破的瓦片了。
52,盛水的陶罐,遗忘古地,wenwu_52,1,城镇人家所使用的陶罐，有时候里面会装有逝去宠物的遗体。但这个是空的。
53,奶酪化石,遗忘古地,wenwu_53,1,传说级的美食，当年大都市的畅销商品。可惜现在已经不能知道是什么滋味了。
54,侍女面纱,遗忘古地,wenwu_54,1,宫廷侍女的面纱，做工良好，质地轻柔，可以想象出当年戴在侍女脸上的样子。
55,华美的刀鞘,遗忘古地,wenwu_55,2,做工令人叹为观止的刀鞘，花纹繁复到眼花缭乱。可能是哪个贵族公子当年遗留的。
56,金铃铛脚环,遗忘古地,wenwu_56,2,细小的金圈上镶嵌了许多更细小的铃铛，多年前，它曾在一位绝色舞娘的脚踝上叮当作响。
57,水晶烛台,遗忘古地,wenwu_57,3,水晶做成的烛台，水晶都做成仿佛要滴落的样子。工艺之华美，显然是贵族所用的。
58,琉璃夜光杯,遗忘古地,wenwu_58,3,琉璃雕成的夜光酒杯，尽管杯中已无美酒，那玲珑剔透的光芒仍让它美的耀眼。
59,荣耀宝珠,遗忘古地,wenwu_59,4,上等稀有珠宝串成的珠链，链子中有细碎的装饰品。它象征着国王赐予的荣耀。
60,雄鹰卓越之刃,遗忘古地,wenwu_60,5,最英武无畏的战士才能享用的宝剑，剑柄被雕琢成雄鹰的样子。一见便知是绝世好剑。
61,螺旋蜗牛壳,紫晶森林,wenwu_61,1,一种稀有的蜗牛壳，因为独特的螺旋壳纹而常常被人做成装饰。上面还有穿孔的痕迹。
62,矮人臭袜子,紫晶森林,wenwu_62,1,从大小和使用情况看，是矮人穿过的袜子。不知是不是放的时间太久，有一股非常令人窒息的味道。
63,木制啤酒杯,紫晶森林,wenwu_63,1,很大号的木制啤酒杯，不亚于一个小酒桶了。可以想象当年矮人们喝酒狂欢的样子。
64,骨头骰子,紫晶森林,wenwu_64,1,猪骨头做成骰子，造型圆润，是矮人们喝酒助兴的玩具。
65,银制哨子,紫晶森林,wenwu_65,2,白银打造而成的哨子，一看就是心灵手巧的工匠做的。矮人可以用来召唤自己的坐骑。
66,狮鹫小像,紫晶森林,wenwu_66,2,一尊小小的狮鹫像。可能是矮人留下的，也可能是在矿洞新挖出来的。
67,黄金夜壶,紫晶森林,wenwu_67,3,纯黄金打造成的夜壶？不得不感叹矮人一族的富有与奢侈。
68,红宝石酒壶,紫晶森林,wenwu_68,3,鸡蛋大的红宝石镶嵌在酒壶上，通过宝石半透明的质地可以看见内部甘醇的葡萄酒。
69,国王权杖,紫晶森林,wenwu_69,4,矮人国王的权杖，上面镶嵌有多种名贵宝石。它一点被时间侵袭的痕迹都没有，依然光芒万丈。
70,燃烧的战锤,紫晶森林,wenwu_70,5,巨大沉重的战锤，它黑得发亮的锤面下是隐隐燃烧的烈焰。矮人族领袖的心爱之物。
71,亡灵的心脏,亡灵壁垒,wenwu_71,1,一颗灰中发绿的心脏。尽管是亡灵的心脏，却依然温热并有跳动感。
72,腐臭的液体,亡灵壁垒,wenwu_72,1,一小瓶腐臭的液体。不知是亡灵的什么分泌物。打开会释放气体让别人看到亡灵的一段记忆。
73,四散的人骨,亡灵壁垒,wenwu_73,1,四处散落的人骨头。有不少上面有着刀砍火烧的痕迹，看来这些勇士都经历了一场恶战。
74,亡灵血泪,亡灵壁垒,wenwu_74,1,装有亡灵怨恨力量的血泪瓶子。打开时传出的亡灵嚎叫听起来几乎要让人丧失理智。
75,亡灵雕文,亡灵壁垒,wenwu_75,2,一块有破损的石雕，上刻有大批制造亡灵的符文。可惜字迹并不十分清晰。
76,永眠护符,亡灵壁垒,wenwu_76,2,一块美丽的护身符，棱形的金丝环绕着中心的玛瑙。玛瑙中含有一个安详的灵魂。
77,亡灵头盔,亡灵壁垒,wenwu_77,3,亡灵骑士戴过的头盔。它陪伴着这些不朽的英雄经历了无数场战斗。
78,黄金胸甲,亡灵壁垒,wenwu_78,3,黄金打造的胸甲，虽然亡灵已经拥有不朽的生命，但这套胸甲仍具有防御力。
79,死亡面罩,亡灵壁垒,wenwu_79,4,亡灵先锋军战士所带的面罩，虽然工艺非凡，但仍然透露着亡灵独特的审美。
80,女皇图章,亡灵壁垒,wenwu_80,5,亡灵的领袖，伟大的女妖之皇专用物。见此物如见到女皇本人。印章时至今日仍有号令亡灵的威力。
81,泰坦圆盘,全地图,wenwu_81,4,  记载着泰坦年轮时间的圆盘，由注入奥术法力的原石制成。每个圆盘刻度下记载着世界中的大事件。
82,泰坦符文石,全地图,wenwu_82,4,  看似光洁无比的表面中纂刻有许多闪着微光的符文在静静浮动着。只有泰坦可以看懂这些神秘的符文。
83,泰坦巨剑,全地图,wenwu_83,4,  泰坦主神提取宇宙中最精纯的氪石打造的战神之剑，号称宇宙中永不言败的武器，其手下败将数不胜数。
84,泰坦王冠,全地图,wenwu_84,5,  泰坦中的创世之王创造了天空与广阔无涯的海洋，于是得意之余用海底最美的矿石打造了一顶只属于他自己的王冠。
85,泰坦王座,全地图,wenwu_85,5,  神殿中象征最高决策权的王座，王座中记载了泰坦的能量之力的源泉，因此成为世间各种族不惜性命也要得到的宝物。
